season,season_start_year,league,division,league_finish,position,name,nationality,age,minutes_(total),starting_appearances_(league),substitute_appearances_(league),starting_appearances_(total),substitute_appearances_(total),total_appearances,goals_(total),goals_(league),g/minutes_(total),g/appearances_(total),european_competition,tier,performance,round_of_tournament,homegrown_players,transfers_in,transfers_out,net_transfers,games_played_(total),goals_for_(total),goals_against_(total),goal_difference_(total),goals_per_game_(total),games_played_(league),goals_for_(league),goals_against_(league),goal_difference_(league),goals_per_game_(league),average_age,average_appearances,average_minutes
2003-2004,2003,La Liga,1,8th,DF,Juliano Belletti,Brazil,27,3491,25,3,39,6,45.0,4,3,872.75,11.25,Intertoto Cup,3,Champions,5/5,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,DF,Juliano Belletti,Brazil,27,3491,25,3,39,6,45.0,4,3,872.75,11.25,UEFA Cup,2,Semis,5/6,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,DF,Javi Venta,Spain,28,2789,16,7,30,12,42.0,0,0,0.0,0.0,Intertoto Cup,3,Champions,5/5,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,DF,Javi Venta,Spain,28,2789,16,7,30,12,42.0,0,0,0.0,0.0,UEFA Cup,2,Semis,5/6,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,DF,Rubén González,Spain,18,0,0,0,0,0,0.0,0,0,0.0,0.0,Intertoto Cup,3,Champions,5/5,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,DF,Rubén González,Spain,18,0,0,0,0,0,0.0,0,0,0.0,0.0,UEFA Cup,2,Semis,5/6,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,DF,Carlos Alcántara,Spain,18,0,0,0,0,0,0.0,0,0,0.0,0.0,Intertoto Cup,3,Champions,5/5,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,DF,Carlos Alcántara,Spain,18,0,0,0,0,0,0.0,0,0,0.0,0.0,UEFA Cup,2,Semis,5/6,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,DF,Rodolfo Arruabarrena,Argentina,28,4596,33,1,52,1,53.0,2,2,2298.0,26.5,Intertoto Cup,3,Champions,5/5,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,DF,Rodolfo Arruabarrena,Argentina,28,4596,33,1,52,1,53.0,2,2,2298.0,26.5,UEFA Cup,2,Semis,5/6,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,DF,Miguel Ángel Tena,Spain,21,137,1,0,2,1,3.0,0,0,0.0,0.0,Intertoto Cup,3,Champions,5/5,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,DF,Miguel Ángel Tena,Spain,21,137,1,0,2,1,3.0,0,0,0.0,0.0,UEFA Cup,2,Semis,5/6,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,DF,Edu Caballer,Spain,22,0,0,0,0,0,0.0,0,0,0.0,0.0,Intertoto Cup,3,Champions,5/5,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,DF,Edu Caballer,Spain,22,0,0,0,0,0,0.0,0,0,0.0,0.0,UEFA Cup,2,Semis,5/6,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,DF,Fabricio Coloccini,Argentina,21,3786,27,4,43,5,48.0,1,1,3786.0,48.0,Intertoto Cup,3,Champions,5/5,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,DF,Fabricio Coloccini,Argentina,21,3786,27,4,43,5,48.0,1,1,3786.0,48.0,UEFA Cup,2,Semis,5/6,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,DF,Unai Vergara,Spain,26,0,0,0,0,0,0.0,0,0,0.0,0.0,Intertoto Cup,3,Champions,5/5,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,DF,Unai Vergara,Spain,26,0,0,0,0,0,0.0,0,0,0.0,0.0,UEFA Cup,2,Semis,5/6,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,DF,Quique Alvarez,Spain,28,3930,29,0,44,2,46.0,2,2,1965.0,23.0,Intertoto Cup,3,Champions,5/5,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,DF,Quique Alvarez,Spain,28,3930,29,0,44,2,46.0,2,2,1965.0,23.0,UEFA Cup,2,Semis,5/6,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,DF,Sergio Martínez Ballesteros,Spain,28,4022,30,0,45,1,46.0,2,1,2011.0,23.0,Intertoto Cup,3,Champions,5/5,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,DF,Sergio Martínez Ballesteros,Spain,28,4022,30,0,45,1,46.0,2,1,2011.0,23.0,UEFA Cup,2,Semis,5/6,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,DF,César Arzo,Spain,17,253,0,10,1,13,14.0,0,0,0.0,0.0,Intertoto Cup,3,Champions,5/5,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,DF,César Arzo,Spain,17,253,0,10,1,13,14.0,0,0,0.0,0.0,UEFA Cup,2,Semis,5/6,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,MF,Pere Martí,Spain,21,3982,30,4,44,9,53.0,1,1,3982.0,53.0,Intertoto Cup,3,Champions,5/5,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,MF,Pere Martí,Spain,21,3982,30,4,44,9,53.0,1,1,3982.0,53.0,UEFA Cup,2,Semis,5/6,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,MF,José Verza,Spain,17,164,1,2,2,6,8.0,0,0,0.0,0.0,Intertoto Cup,3,Champions,5/5,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,MF,José Verza,Spain,17,164,1,2,2,6,8.0,0,0,0.0,0.0,UEFA Cup,2,Semis,5/6,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,MF,Jorge López,Spain,25,270,0,0,3,0,3.0,1,0,270.0,3.0,Intertoto Cup,3,Champions,5/5,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,MF,Jorge López,Spain,25,270,0,0,3,0,3.0,1,0,270.0,3.0,UEFA Cup,2,Semis,5/6,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,MF,David Galindo,Spain,20,12,0,0,0,2,2.0,0,0,0.0,0.0,Intertoto Cup,3,Champions,5/5,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,MF,David Galindo,Spain,20,12,0,0,0,2,2.0,0,0,0.0,0.0,UEFA Cup,2,Semis,5/6,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,MF,Teo Tirado,Spain,18,0,0,0,0,0,0.0,0,0,0.0,0.0,Intertoto Cup,3,Champions,5/5,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,MF,Teo Tirado,Spain,18,0,0,0,0,0,0.0,0,0,0.0,0.0,UEFA Cup,2,Semis,5/6,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,MF,Santi Cazorla,Spain,19,66,0,2,0,2,2.0,0,0,0.0,0.0,Intertoto Cup,3,Champions,5/5,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,MF,Santi Cazorla,Spain,19,66,0,2,0,2,2.0,0,0,0.0,0.0,UEFA Cup,2,Semis,5/6,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,MF,Sebastián Battaglia,Argentina,23,1980,13,2,22,3,25.0,0,0,0.0,0.0,Intertoto Cup,3,Champions,5/5,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,MF,Sebastián Battaglia,Argentina,23,1980,13,2,22,3,25.0,0,0,0.0,0.0,UEFA Cup,2,Semis,5/6,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,MF,Josico,Spain,28,2769,21,5,31,8,39.0,1,0,2769.0,39.0,Intertoto Cup,3,Champions,5/5,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,MF,Josico,Spain,28,2769,21,5,31,8,39.0,1,0,2769.0,39.0,UEFA Cup,2,Semis,5/6,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,MF,Marcos Senna,Spain,27,576,6,3,6,4,10.0,0,0,0.0,0.0,Intertoto Cup,3,Champions,5/5,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,MF,Marcos Senna,Spain,27,576,6,3,6,4,10.0,0,0,0.0,0.0,UEFA Cup,2,Semis,5/6,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,MF,Roger García,Spain,27,2955,22,8,36,10,46.0,4,2,738.75,11.5,Intertoto Cup,3,Champions,5/5,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,MF,Roger García,Spain,27,2955,22,8,36,10,46.0,4,2,738.75,11.5,UEFA Cup,2,Semis,5/6,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,MF,Joan Roman Riquelme,Argentina,25,4112,32,1,47,1,48.0,13,8,316.3076923076923,3.6923076923076925,Intertoto Cup,3,Champions,5/5,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,MF,Joan Roman Riquelme,Argentina,25,4112,32,1,47,1,48.0,13,8,316.3076923076923,3.6923076923076925,UEFA Cup,2,Semis,5/6,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,MF,Héctor Font,Spain,19,91,0,0,1,1,2.0,0,0,0.0,0.0,Intertoto Cup,3,Champions,5/5,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,MF,Héctor Font,Spain,19,91,0,0,1,1,2.0,0,0,0.0,0.0,UEFA Cup,2,Semis,5/6,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,FW,Xisco Nadal,Spain,17,196,0,7,1,11,12.0,1,1,196.0,12.0,Intertoto Cup,3,Champions,5/5,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,FW,Xisco Nadal,Spain,17,196,0,7,1,11,12.0,1,1,196.0,12.0,UEFA Cup,2,Semis,5/6,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,FW,Victor Manuel Fernández,Spain,29,2514,18,9,30,11,41.0,6,3,419.0,6.833333333333333,Intertoto Cup,3,Champions,5/5,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,FW,Victor Manuel Fernández,Spain,29,2514,18,9,30,11,41.0,6,3,419.0,6.833333333333333,UEFA Cup,2,Semis,5/6,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,FW,Antonio Guayre,Spain,23,2791,21,10,30,15,45.0,4,3,697.75,11.25,Intertoto Cup,3,Champions,5/5,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,FW,Antonio Guayre,Spain,23,2791,21,10,30,15,45.0,4,3,697.75,11.25,UEFA Cup,2,Semis,5/6,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,FW,Sonny Anderson,Brazil,33,3584,21,14,36,19,55.0,19,12,188.6315789473684,2.8947368421052633,Intertoto Cup,3,Champions,5/5,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,FW,Sonny Anderson,Brazil,33,3584,21,14,36,19,55.0,19,12,188.6315789473684,2.8947368421052633,UEFA Cup,2,Semis,5/6,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,FW,José Mari,Spain,25,3736,29,3,43,7,50.0,11,6,339.6363636363636,4.545454545454546,Intertoto Cup,3,Champions,5/5,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,FW,José Mari,Spain,25,3736,29,3,43,7,50.0,11,6,339.6363636363636,4.545454545454546,UEFA Cup,2,Semis,5/6,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,FW,Javier Calleja,Spain,25,940,5,4,12,4,16.0,2,0,470.0,8.0,Intertoto Cup,3,Champions,5/5,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,FW,Javier Calleja,Spain,25,940,5,4,12,4,16.0,2,0,470.0,8.0,UEFA Cup,2,Semis,5/6,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,FW,José María Cases,Spain,17,44,0,0,0,1,1.0,0,0,0.0,0.0,Intertoto Cup,3,Champions,5/5,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2003-2004,2003,La Liga,1,8th,FW,José María Cases,Spain,17,44,0,0,0,1,1.0,0,0,0.0,0.0,UEFA Cup,2,Semis,5/6,13,6,13,-7.0,60,77,65,12,1.2833333333333334,38,47,49,-2,1.236842105263158,23.3,24.7,1793.52
2004-2005,2004,La Liga,1,3rd,GK,Pepe Reina,Spain,22,5116,38,0,57,0,57.0,0,0,0.0,0.0,Intertoto Cup,3,Champions,5/5,15,6,7,-1.0,59,100,49,51,1.694915254237288,38,69,37,32,1.8157894736842106,23.84,21.97,1535.49
2004-2005,2004,La Liga,1,3rd,GK,Pepe Reina,Spain,22,5116,38,0,57,0,57.0,0,0,0.0,0.0,UEFA Cup,2,Quarters,4/6,15,6,7,-1.0,59,100,49,51,1.694915254237288,38,69,37,32,1.8157894736842106,23.84,21.97,1535.49
2004-2005,2004,La Liga,1,3rd,GK,Juan Carlos,Spain,17,0,0,0,0,0,0.0,0,0,0.0,0.0,Intertoto Cup,3,Champions,5/5,15,6,7,-1.0,59,100,49,51,1.694915254237288,38,69,37,32,1.8157894736842106,23.84,21.97,1535.49
2004-2005,2004,La Liga,1,3rd,GK,Juan Carlos,Spain,17,0,0,0,0,0,0.0,0,0,0.0,0.0,UEFA Cup,2,Quarters,4/6,15,6,7,-1.0,59,100,49,51,1.694915254237288,38,69,37,32,1.8157894736842106,23.84,21.97,1535.49
2004-2005,2004,La Liga,1,3rd,GK,Javier López Vallejo,Spain,29,224,0,0,2,1,3.0,0,0,0.0,0.0,Intertoto Cup,3,Champions,5/5,15,6,7,-1.0,59,100,49,51,1.694915254237288,38,69,37,32,1.8157894736842106,23.84,21.97,1535.49
2004-2005,2004,La Liga,1,3rd,GK,Javier López Vallejo,Spain,29,224,0,0,2,1,3.0,0,0,0.0,0.0,UEFA Cup,2,Quarters,4/6,15,6,7,-1.0,59,100,49,51,1.694915254237288,38,69,37,32,1.8157894736842106,23.84,21.97,1535.49
2004-2005,2004,La Liga,1,3rd,DF,Rubén González,Spain,19,0,0,0,0,0,0.0,0,0,0.0,0.0,Intertoto Cup,3,Champions,5/5,15,6,7,-1.0,59,100,49,51,1.694915254237288,38,69,37,32,1.8157894736842106,23.84,21.97,1535.49
2004-2005,2004,La Liga,1,3rd,DF,Rubén González,Spain,19,0,0,0,0,0,0.0,0,0,0.0,0.0,UEFA Cup,2,Quarters,4/6,15,6,7,-1.0,59,100,49,51,1.694915254237288,38,69,37,32,1.8157894736842106,23.84,21.97,1535.49
2004-2005,2004,La Liga,1,3rd,DF,Javi Venta,Spain,29,1737,32,0,39,3,42.0,2,0,868.5,21.0,Intertoto Cup,3,Champions,5/5,15,6,7,-1.0,59,100,49,51,1.694915254237288,38,69,37,32,1.8157894736842106,23.84,21.97,1535.49
2004-2005,2004,La Liga,1,3rd,DF,Javi Venta,Spain,29,1737,32,0,39,3,42.0,2,0,868.5,21.0,UEFA Cup,2,Quarters,4/6,15,6,7,-1.0,59,100,49,51,1.694915254237288,38,69,37,32,1.8157894736842106,23.84,21.97,1535.49
2004-2005,2004,La Liga,1,3rd,DF,Armando Sá,Mozambique,29,2857,16,4,31,5,36.0,0,0,0.0,0.0,Intertoto Cup,3,Champions,5/5,15,6,7,-1.0,59,100,49,51,1.694915254237288,38,69,37,32,1.8157894736842106,23.84,21.97,1535.49
2004-2005,2004,La Liga,1,3rd,DF,Armando Sá,Mozambique,29,2857,16,4,31,5,36.0,0,0,0.0,0.0,UEFA Cup,2,Quarters,4/6,15,6,7,-1.0,59,100,49,51,1.694915254237288,38,69,37,32,1.8157894736842106,23.84,21.97,1535.49
2004-2005,2004,La Liga,1,3rd,DF,Rodolfo Arruabarrena,Argentina,20,3744,25,1,42,1,43.0,0,0,0.0,0.0,Intertoto Cup,3,Champions,5/5,15,6,7,-1.0,59,100,49,51,1.694915254237288,38,69,37,32,1.8157894736842106,23.84,21.97,1535.49
2004-2005,2004,La Liga,1,3rd,DF,Rodolfo Arruabarrena,Argentina,20,3744,25,1,42,1,43.0,0,0,0.0,0.0,UEFA Cup,2,Quarters,4/6,15,6,7,-1.0,59,100,49,51,1.694915254237288,38,69,37,32,1.8157894736842106,23.84,21.97,1535.49
2004-2005,2004,La Liga,1,3rd,DF,Juan Pablo Sorín,Argentina,28,2052,20,1,26,1,27.0,4,4,513.0,6.75,Intertoto Cup,3,Champions,5/5,15,6,7,-1.0,59,100,49,51,1.694915254237288,38,69,37,32,1.8157894736842106,23.84,21.97,1535.49
2004-2005,2004,La Liga,1,3rd,DF,Juan Pablo Sorín,Argentina,28,2052,20,1,26,1,27.0,4,4,513.0,6.75,UEFA Cup,2,Quarters,4/6,15,6,7,-1.0,59,100,49,51,1.694915254237288,38,69,37,32,1.8157894736842106,23.84,21.97,1535.49
2004-2005,2004,La Liga,1,3rd,DF,Carlos Alcántara,Spain,19,377,1,1,4,1,5.0,0,0,0.0,0.0,Intertoto Cup,3,Champions,5/5,15,6,7,-1.0,59,100,49,51,1.694915254237288,38,69,37,32,1.8157894736842106,23.84,21.97,1535.49
2004-2005,2004,La Liga,1,3rd,DF,Carlos Alcántara,Spain,19,377,1,1,4,1,5.0,0,0,0.0,0.0,UEFA Cup,2,Quarters,4/6,15,6,7,-1.0,59,100,49,51,1.694915254237288,38,69,37,32,1.8157894736842106,23.84,21.97,1535.49
2004-2005,2004,La Liga,1,3rd,DF,Gonzalo Rodríguez,Argentina,20,4242,34,0,47,2,49.0,4,2,1060.5,12.25,Intertoto Cup,3,Champions,5/5,15,6,7,-1.0,59,100,49,51,1.694915254237288,38,69,37,32,1.8157894736842106,23.84,21.97,1535.49
2004-2005,2004,La Liga,1,3rd,DF,Gonzalo Rodríguez,Argentina,20,4242,34,0,47,2,49.0,4,2,1060.5,12.25,UEFA Cup,2,Quarters,4/6,15,6,7,-1.0,59,100,49,51,1.694915254237288,38,69,37,32,1.8157894736842106,23.84,21.97,1535.49
2004-2005,2004,La Liga,1,3rd,DF,Quique Álvarez,Spain,29,3704,24,0,41,1,42.0,0,0,0.0,0.0,Intertoto Cup,3,Champions,5/5,15,6,7,-1.0,59,100,49,51,1.694915254237288,38,69,37,32,1.8157894736842106,23.84,21.97,1535.49
2004-2005,2004,La Liga,1,3rd,DF,Quique Álvarez,Spain,29,3704,24,0,41,1,42.0,0,0,0.0,0.0,UEFA Cup,2,Quarters,4/6,15,6,7,-1.0,59,100,49,51,1.694915254237288,38,69,37,32,1.8157894736842106,23.84,21.97,1535.49
2004-2005,2004,La Liga,1,3rd,DF,Sergio Ballesteros,Spain,29,428,0,0,5,0,5.0,0,0,0.0,0.0,Intertoto Cup,3,Champions,5/5,15,6,7,-1.0,59,100,49,51,1.694915254237288,38,69,37,32,1.8157894736842106,23.84,21.97,1535.49
2004-2005,2004,La Liga,1,3rd,DF,Sergio Ballesteros,Spain,29,428,0,0,5,0,5.0,0,0,0.0,0.0,UEFA Cup,2,Quarters,4/6,15,6,7,-1.0,59,100,49,51,1.694915254237288,38,69,37,32,1.8157894736842106,23.84,21.97,1535.49
2004-2005,2004,La Liga,1,3rd,DF,Edu Caballer,Spain,30,0,0,0,0,0,0.0,0,0,0.0,0.0,Intertoto Cup,3,Champions,5/5,15,6,7,-1.0,59,100,49,51,1.694915254237288,38,69,37,32,1.8157894736842106,23.84,21.97,1535.49
2004-2005,2004,La Liga,1,3rd,DF,Edu Caballer,Spain,30,0,0,0,0,0,0.0,0,0,0.0,0.0,UEFA Cup,2,Quarters,4/6,15,6,7,-1.0,59,100,49,51,1.694915254237288,38,69,37,32,1.8157894736842106,23.84,21.97,1535.49
2004-2005,2004,La Liga,1,3rd,DF,César Arzo,Spain,18,1021,4,11,10,16,26.0,1,1,1021.0,26.0,Intertoto Cup,3,Champions,5/5,15,6,7,-1.0,59,100,49,51,1.694915254237288,38,69,37,32,1.8157894736842106,23.84,21.97,1535.49
2004-2005,2004,La Liga,1,3rd,DF,César Arzo,Spain,18,1021,4,11,10,16,26.0,1,1,1021.0,26.0,UEFA Cup,2,Quarters,4/6,15,6,7,-1.0,59,100,49,51,1.694915254237288,38,69,37,32,1.8157894736842106,23.84,21.97,1535.49
2004-2005,2004,La Liga,1,3rd,DF,Juan Manuel Peña,Bolivia,31,2474,19,6,27,7,34.0,2,1,1237.0,17.0,Intertoto Cup,3,Champions,5/5,15,6,7,-1.0,59,100,49,51,1.694915254237288,38,69,37,32,1.8157894736842106,23.84,21.97,1535.49
2004-2005,2004,La Liga,1,3rd,DF,Juan Manuel Peña,Bolivia,31,2474,19,6,27,7,34.0,2,1,1237.0,17.0,UEFA Cup,2,Quarters,4/6,15,6,7,-1.0,59,100,49,51,1.694915254237288,38,69,37,32,1.8157894736842106,23.84,21.97,1535.49
2004-2005,2004,La Liga,1,3rd,MF,Pere Martí,Spain,22,0,0,0,0,0,0.0,0,0,0.0,0.0,Intertoto Cup,3,Champions,5/5,15,6,7,-1.0,59,100,49,51,1.694915254237288,38,69,37,32,1.8157894736842106,23.84,21.97,1535.49
2004-2005,2004,La Liga,1,3rd,MF,Pere Martí,Spain,22,0,0,0,0,0,0.0,0,0,0.0,0.0,UEFA Cup,2,Quarters,4/6,15,6,7,-1.0,59,100,49,51,1.694915254237288,38,69,37,32,1.8157894736842106,23.84,21.97,1535.49
2004-2005,2004,La Liga,1,3rd,MF,Sebastián Battaglia,Argentina,24,1695,10,4,18,6,24.0,0,0,0.0,0.0,Intertoto Cup,3,Champions,5/5,15,6,7,-1.0,59,100,49,51,1.694915254237288,38,69,37,32,1.8157894736842106,23.84,21.97,1535.49
2004-2005,2004,La Liga,1,3rd,MF,Sebastián Battaglia,Argentina,24,1695,10,4,18,6,24.0,0,0,0.0,0.0,UEFA Cup,2,Quarters,4/6,15,6,7,-1.0,59,100,49,51,1.694915254237288,38,69,37,32,1.8157894736842106,23.84,21.97,1535.49
2004-2005,2004,La Liga,1,3rd,MF,José Verza,Spain,18,17,0,0,0,1,1.0,0,0,0.0,0.0,Intertoto Cup,3,Champions,5/5,15,6,7,-1.0,59,100,49,51,1.694915254237288,38,69,37,32,1.8157894736842106,23.84,21.97,1535.49
